Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price,Retail_Sales_Percentage
November,India,Equipment,Bags,Gym Sack,Budget,48356,14506800,73,300,27
January,India,Equipment,Accessories,Hats,Budget,9842,2066820,50,210,50
October,India,Apparel,Tops,Tech Fleece,Mid-Range,25079,1755530,90,70,10
December,Greater China,Footwear,Cricket,Vapor Cricket,Premium,41404,8694840,58,210,42
May,Greater China,Equipment,Socks,Performance Socks,Premium,33569,5371040,53,160,47
October,Japan,Apparel,Performance,Dri-FIT,Premium,39344,5508160,73,140,27
December,Japan,Footwear,Cricket,Vapor Cricket,Budget,30197,6945310,50,230,50
July,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,42814,6422100,55,150,45
April,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,16489,2473350,78,150,22
February,Europe,Footwear,Cricket,Vapor Cricket,Mid-Range,43626,10033980,86,230,14
September,Greater China,Equipment,Accessories,Bags,Mid-Range,41006,5330780,75,130,25
June,South Korea,Equipment,Socks,Performance Socks,Premium,41901,12570300,63,300,37
May,America,Equipment,Socks,Crew Socks,Mid-Range,18843,4522320,59,240,41
November,India,Equipment,Bags,Backpack,Budget,35160,7032000,86,200,14
December,Greater China,Equipment,Socks,Performance Socks,Mid-Range,33581,6716200,73,200,27
June,America,Apparel,Tops,Tech Fleece,Mid-Range,41641,8744610,61,210,39
April,America,Apparel,Outerwear,Rain Jacket,Premium,39934,7986800,83,200,17
March,Greater China,Footwear,Lifestyle,Air Force 1,Budget,48973,8815140,81,180,19
July,India,Equipment,Accessories,Bags,Budget,46622,10723060,62,230,38
August,Greater China,Footwear,Running,React Infinity,Budget,30262,4539300,51,150,49
March,Japan,Apparel,Outerwear,Windrunner,Mid-Range,10853,2279130,74,210,26
October,America,Equipment,Socks,Crew Socks,Premium,33059,4297670,59,130,41
July,America,Apparel,Outerwear,Windrunner,Mid-Range,16670,4834300,81,290,19
August,Europe,Apparel,Tops,Therma-FIT,Budget,44274,7969320,82,180,18
July,Greater China,Apparel,Performance,Dri-FIT,Premium,47805,2390250,52,50,48
August,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,48747,12186750,77,250,23
July,India,Equipment,Bags,Gym Sack,Mid-Range,8478,423900,57,50,43
March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,42986,9027060,53,210,47
December,America,Apparel,Performance,Dri-FIT,Budget,41744,8348800,65,200,35
January,America,Apparel,Performance,Dri-FIT,Budget,39919,10378940,52,260,48
September,Japan,Footwear,Basketball,Air Jordan,Budget,46314,10652220,55,230,45
June,South Korea,Equipment,Socks,Performance Socks,Budget,16396,3935040,50,240,50
November,Europe,Apparel,Performance,Compression Wear,Budget,44734,10736160,75,240,25
September,Europe,Equipment,Accessories,Hats,Premium,33895,8473750,74,250,26
October,Japan,Equipment,Bags,Backpack,Premium,31834,7003480,71,220,29
August,India,Apparel,Tops,Therma-FIT,Premium,29827,1491350,79,50,21
April,Southeast Asia,Equipment,Bags,Gym Sack,Premium,48873,10752060,80,220,20
October,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,23473,4459870,74,190,26
June,Southeast Asia,Equipment,Socks,Performance Socks,Premium,18279,1096740,83,60,17
September,America,Apparel,Outerwear,Windrunner,Budget,33577,8730020,56,260,44
February,South Korea,Apparel,Performance,Compression Wear,Mid-Range,40762,4076200,57,100,43
October,Japan,Footwear,Running,Air Zoom,Budget,24432,2687520,54,110,46
August,India,Footwear,Football,Mercurial,Budget,10546,2636500,55,250,45
September,Southeast Asia,Equipment,Socks,Crew Socks,Budget,7956,1113840,56,140,44
